Filename,TextGridLabel,duration,f0_midpoint,F1_midpoint,F2_midpoint,intensity,vowel
Male_Shouted,head_2,0.267693016,172.9595617,699.2843814,1763.516808,86.22560607,ε
Male_Shouted,had_1,0.328028991,183.5864873,756.7374872,1649.930261,84.78824787,æ
Male_Shouted,had_2,0.331113178,178.3606877,726.1727376,1799.996801,84.86131771,æ
Male_Shouted,hod_1,0.319221316,168.6785375,720.6614586,1344.782202,83.99276405,ɑ
Male_Shouted,hod_2,0.34379886,171.9699254,712.650351,1456.084501,85.75434498,ɑ
Male_Shouted,hood_1,0.250956178,171.5444767,689.5684935,2005.707066,87.78063271,ʊ
Male_Shouted,hood_2,0.248789581,227.9361809,686.4791818,2007.294253,87.3110982,ʊ
Male_Shouted,who'd_1,0.297691621,187.9037096,673.2320735,1716.321455,77.68121059,u
Male_Shouted,who'd_2,0.324944952,185.2985011,964.3352146,2264.065493,75.52468477,u
Male_Shouted,hud_1,0.280624125,172.4939393,706.5035733,1870.029085,86.66774549,ʌ
Male_Shouted,hud_2,0.30299858,169.8851182,707.0439705,1633.580337,86.1315345,ʌ
Male_Shouted,heard_1,0.288227243,158.5678603,639.9502853,1855.026646,87.22128243,ɹ
Male_Shouted,heard_2,0.304571682,166.136258,670.0450404,1400.31789,85.24706236,ɹ
